class_id,title,description
4,US Air Force launches a GPS satellite,"The US Air Force launched a global positioning system satellite Saturday from Cape Canaveral, Fla. It was the 12th successful launch of the new-generation GPS IIR spacecraft."
1,Militants Claim Kidnapping Of French Journalists; Demand France &lt;b&gt;...&lt;/b&gt;,"_ Islamic militants released a brief tape showing two French journalists kidnapped recently in Iraq and said they were holding the men to protest a French law banning headscarves in schools, according to footage aired Saturday by an Arab "
3,"Oil prices rise after Saudi attack, halting three-day plunge","NEW YORK (AFP) - Global crude oil prices rose after gunmen stormed a US consulate in Saudi Arabia, arresting a three-day, 13-percent price slide."
1,Report: Blair Warned of Iraq Chaos in '02 (AP),AP - The government was accused Saturday of misleading the British public over plans for postwar Iraq after a newspaper reported that Prime Minister Tony Blair was warned a year before the invasion that postwar stability would be difficult.
2,GILL ON ROONEY," quot;All I can tell you is to reiterate what we put out to the stock exchange this morning. We confirmed, following media speculation, that we had made a bid for Wayne."
3,Applied Materials Returns to Profit," SAN FRANCISCO (Reuters) - Applied Materials Inc.  &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=AMAT.O target=/stocks/quickinfo/fullquote""&gt;AMAT.O&lt;/A&gt;,  the largest maker of chip-making tools, on Tuesday said healthy  spending on new semiconductor factories more than doubled  revenue and returned it to a quarterly profit."
1,Summit to discuss Turkey EU bid,"German, French and Turkish leaders meet, with Ankara's EU bid expected to be high on the agenda."
1,Putin approves of Ukraine #39;s membership in EU,"RBC, 10.12.2004, Moscow 19:51:19.Russian President Vladimir Putin approves of the possibility of Ukraine joining the European Union."
2,LPGA statistics,"Scoring: 1, Annika Sorenstam, 68.90. 2, Lorena Ochoa, 69.84. 3, Grace Park, 69.88. 4, Cristie Kerr, 70.43. 5, Mi Hyun Kim, 70.51. 6, Karen Stupples, 70."
3,Netflix Exclusive on Fool Radio,Listen up as CEO Reed Hastings talks to our radio team about his firm.
4,Intel board backs Otellini as CEO,"Paul Otellini, currently president and COO, will replace outgoing chief Craig Barrett in May. \"
3,Gateway trims loss in third quarter,"update Gateway on Thursday posted a narrower third-quarter loss, helped by cost cuts and an increase in PC unit shipments, that could allow it to climb ever closer to turning a profit."
3,Group Tracks US Companies That Send Jobs Offshore,"A union group on Thursday unveiled a Web site that lets users identify more than 200,000 US-based companies it says have exported American jobs or lost them because they were hurt by foreign trade."
1,Bush war on Iraq illegal - United Nations Secretary Annan,"United Nations Secretary, General Kofi Annan, said in an interview with the BBC, that the US led invasion of Iraq was illegal. When asked whether he thought the invasion of Iraq was illegal, Annan replied  quot;Yes, if you wish."
3,Limit expected to be reached as early as this week,"WASHINGTON (CBS.MW) -- With 29 days to go before the presidential election, a group of Democrats on Capitol Hill is pressing John Snow to do more to raise the federal government #39;s mandatory debt ceiling, which is poised to be reached as soon as this week."
1,S America creates single market,South American leaders create an economic and political bloc modelled on the European Union.
1,Middle East Approaches That Won #39;t Work,"Brent Scowcroft #39;s Nov. 12 op-ed column,  quot;A Middle East Opening, quot; was a reminder of the Middle East policy that failed the first George Bush and his successor, Bill Clinton."
2,"Irish, Southern Cal Renew Storied Rivalry (AP)","AP - Matt Leinart became a Notre Dame fan at age 8, when the movie ""Rudy"" was released."
3,Time Warner Prepares for Settlement with \$500M Reserve,"AccountingWEB.com - November 05, 2004 - A government investigation into accounting practices at America Online has prompted Time Warner to set aside \$500 million to cover the costs of potential fines."
2,"Blue Jays Rout AL West Leading A's, 13-5 (AP)","AP - Rookie Gabe Gross hit his first career grand slam and Russ Adams hit his first major league home run, leading the Toronto Blue Jays to a 13-5 rout over the Oakland Athletics on Sunday."
2,R  amp; R WIN IT FOR DEVILS,GOALS from Wayne Rooney and Ruud van Nistelrooy gave Manchester United the win at Newcastle. Alan Shearer briefly levelled matters for the Magpies but United managed to scrape through.
1,US Releases Senior Aide to Sadr,"The US military released a senior aide to the rebellious Shiite cleric Moqtada Sadr on Thursday, and Sadr aides said momentum was growing toward an agreement to disband the "
3,Altria plans to split businesses,"Altria, the owner of food company Kraft and the world #39;s biggest cigarette maker Philip Morris, may split itself up to help limit the effect of legal battles."
2,"76ers 116, Wizards 114, OT","Allen Iverson stole an inbound pass, drove down the court and made a layup at the buzzer, giving the Philadelphia 76ers a 116-114 overtime victory over the Washington Wizards on Friday."
3,"Fed chief warns on budget, trade gaps","Federal Reserve chairman Alan Greenspan yesterday urged the federal government to reduce its budget deficit and encourage greater personal saving, warning that foreign investors will not finance endless growth in America's huge trade gap."
4,Sharing SETI: A Personal Book List (SPACE.com),"SPACE.com - As the holiday season approaches, book lists fill the entertainment sections of newspapers: fiction and non-fiction, prize winners of all sorts, the ubiquitous coffee-table large-format illustrated tomes, and children's literature. For me, it's always a tempting feast. It's an opportunity to expand my personal library or find a gift for someone special."
4,"ICANN enters negotiations on .mobi, .jobs domains","DECEMBER 14, 2004 (IDG NEWS SERVICE) - Two new top-level domain names moved closer to approval this week, as the body charged with overseeing the Internet #39;s technical matters moved into negotiations with the companies applying to set up and run the  quot;."
4,Yahoo Goes Mobile with Search and Images,"Yahoo Goes Mobile with Search and Images\\Yahoo yesterday unveiled their latest weapon in the search engine wars with Google and Microsoft - their mobile phone Yahoo. Nevermind desktop search or free email accounts, Yahoo is now bringing their search, local listings, and even images to mobile phones and portable devices. ..."
3,Exports to China give Bay State firms boost,"Massachusetts exports to China have nearly doubled from just two years ago, making China one of the state's biggest foreign markets."
3,Polo Ralph Lauren 2Q Profit Increases,Clothing maker Polo Ralph Lauren Corp. on Wednesday said its second-quarter profit jumped 49 percent. Quarterly net income was \$80.
3,"US Airways To Maintain Most of Fleet, United Bidding Out Regional &lt;b&gt;...&lt;/b&gt;","NOVEMBER 11, 2004 -- Bankrupt US Airways this morning said it had reached agreements with lenders and lessors to continue operating nearly all of its mainline and US Airways Express fleets."
4,Mass. Gets Electronic Gun Fingerprinting,"With a quick electronic scan of a fingerprint, gun shop owners in Massachusetts will know immediately if a customer is eligible to buy a weapon, using a system that officials say is the first of its kind in the nation."
2,Activists enter Acropolis to protest Powell visit,"Greek activists have hoisted a massive banner on the Acropolis against the scheduled visit of US Secretary of State Colin Powell, due in Athens for the Olympics this weekend."
2,Sorenstam to Play Woods in Skins Game (AP),"AP - Annika Sorenstam is mixing it up with the men again, and this time the competition includes Tiger Woods. Sorenstam and Woods will play against each other for the first time when they tee off Saturday in the Skins Game at the Trilogy Golf Club in the middle of the desert."
3,UTC raises its offer for Kidde and gets closer to 1.4bn deal,"Kidde moved a step closer yesterday to being bought by America #39;s United Technologies, which increased its offer for the UK fire extinguisher maker to 1.39bn."
4,Remembering Gordon Cooper,"NASA mourns the loss of Mercury astronaut Gordon Cooper, who rocketed into space in his Faith 7 capsule on May 15, 1963 (above, right)."
2,Rangers beat Celtic for first time in seven matches,"Rangers rallied to beat crosstown rival Celtic for the first time in seven matches Wednesday, with Shota Arveladze scoring in extra time for a 2-1 win in the Scottish League Cup quarter-finals."
4,"Gateway taps out photo, MP3 player beat",The PC maker is coming out with its own hard-drive-based MP3 player--a miniature unit that displays color photos.
1,Calling the shots,"KATHMANDU, AUGUST 22: Nabil bank chairman Satyendra Shrestha, who earlier headed the RBI equivalent, the Rashtra Bank of Nepal, cant understand that the Royal Nepalese Army (RNA), which is performing wonders under the UN mission in Congo, is still to "
3,Lessons from Google IPO,"The recently concluded IPO by Google, the Internets most popular search engine, generated more buzz than usual for several reasons."
2,Bucs Use All They Have For Win,"The rebirth of Brian Griese couldnt have come at a better time for the Tampa Bay Buccaneers. Griese, the second-string quarterback on game-day was called in to relieve an injured Chris Simms in the first-quarter."
1,"French Hostages in Iraq Are Out of Danger, #39; Islamic Group Says","Two French reporters held hostage in Iraq for the past two weeks are out of danger #39; #39; and may be freed soon, an Islamic group in France said on its Web site, citing a French Muslim leader who #39;s been seeking their release."
2,Amarilloan shoots 10-under 62 to claim first title on PGA Tour,"When Ryan Palmer went to the golf course Sunday morning for the final round of the Funai Classic, he knew he would need to shoot a low score to have a chance at winning."
4,Airline's interest in mile-high Wi-Fi dives,"In-flight broadband still too expensive and immature, British Airways CEO says."
4,Outsourcers combine to take on IT services giants,"IT services giants will come under pressure from outsourcing alliances, as companies team up to beat the big guns. \"
3,Audit of Venezuelan vote backs Chavez,"An audit of Venezuela #39;s referendum results has confirmed that President Hugo Chavez won the poll fairly and found no evidence to support the opposition #39;s claims of widespread vote-rigging, international observers said "
3,"UPDATE 5-Morgan Stanley profit tumbles, shares drop","US investment bank Morgan Stanley (MWD.N: Quote, Profile, Research) on Wednesday said quarterly profit dropped by a third on sharply lower bond trading revenue "
3,FDA approves injecting ID chips in patients,"The US Food and Drug Administration has approved the practice of injecting humans with tracking devices for medical purposes, according to a Florida company that makes the devices."
4,PeopleSoft Sees Revenue Above Estimates (Reuters),"Reuters - PeopleSoft Inc.  on Monday\forecast third-quarter revenue would exceed Wall Street\expectations, helped by an increase in customers making larger\orders for its business software."
3,BT #39;s Net Profit Rises 14 Percent,"BT Group PLC, Britain #39;s largest phone company, reported a 14 percent increase in second quarter net profit on Thursday, as growth in mobile telecommunications, broadband and IT services outweighed more declines in its traditional residential telecoms "
3,Local Chain Rolling Out D.C. Tabloid,"Journal Newspapers Inc. plans to begin distributing a free daily newspaper in the District on Feb. 1, according to one of its major advertisers and a source close to the company."
3,"Kraft Foods  quot;market perform, quot; estimates reduced","NEW YORK, November 16 (newratings.com) - Analysts at Wachovia Securities maintain their  quot;market perform quot; rating on Kraft Foods (KFT."
1,Pitcairn Islander pleads guilty to sex crime charges,"SYDNEY - One of seven men facing trial for sex crimes against underage girls on the remote British territory of Pitcairn in the South Pacific has pleaded guilty to three charges of sexual assault, the Australian newspaper reported Tuesday."
1,"U.S. Soldiers, Militiamen Clash in Najaf","NAJAF, Iraq - U.S. warplanes bombed Najaf's Old City and troops clashed with Shiite militiamen Sunday amid fears a plan to end the standoff could collapse..."
3,Dollar Slips to 7-Month Low Vs Yen," SINGAPORE (Reuters) - Persistent concern about the U.S.  trade deficit pushed the dollar to a 7-month low against the  yen and a 7-year low against the South Korean won on Monday,  while strength on Wall Street drove Asian shares higher."
2,Jets go into bye week with sense of accomplishment,"So the New York Jets won their first two games. Big deal, right? For this franchise, it is huge. The Jets are 2-0 for just the eighth time since the team #39;s inception in 1960."
3,Mercedes pins hopes on Sports Tourers,"The world premiere of the Mercedes Sports Tourer models is the latest step in a lengthy process that has transformed the German car maker from a producer of selective luxury models, to one which competes in all market segments."
4,Arm offers \$913 million for chip component firm,"U.K. semiconductor design company Arm Holdings PLC has agreed to acquire a Sunnyvale, California, provider of components for chip manufacturing in a deal valued at around \$913 million in cash and stock."
1,Kashmir withdrawal: Your views,"The Indian Prime Minister Manmohan Singh is visiting Kashmir for the first time since taking office, as some of its troops withdraw from Indian-administered Kashmir."
4,Studios Step Up Fight Against Online Piracy (washingtonpost.com),washingtonpost.com - The major Hollywood studios today said they are escalating their fight against online piracy by pursuing civil and criminal legal actions against the operators of computer servers that help transmit illegally copied movie files across the Internet.
4,"Vendors Address Productivity, Convergence at Wireless Expo (Ziff Davis)","Ziff Davis - The enterprise makes way for mobile video as WiMax advances, Palm's new Treo 650 and Windows mobile productivity all share the stage at the CTIA Wireless show in San Francisco."
3,Retail Briefs,"CINCINNATI - Federated Department Stores Inc., the owner of Macy #39;s and Bloomingdale #39;s, said third-quarter profit may be reduced by as much as 4 cents a share after Hurricane Frances forced stores to close and kept shoppers away."
4,Motorola to acquire MeshNetworks,"Motorolahas agreed to buy MeshNetworks, a developer of technology and products for rapidly deployed, self-creating wireless mobile networks."
3,Don #39;t-call list upheld by justices,"WASHINGTON-- One year and 64 million phone numbers later, the legality of the nation #39;s  quot;Do Not Call List quot; was upheld by the US Supreme Court yesterday."
4,TI Declares Qualcomm Court Victory,Texas Instruments Inc. said Wednesday that a Delaware court ruled a second time that the company did not materially breach an agreement with cell phone chipmaker Qualcomm Inc.
1,Iran Rejects UN Call for Uranium Enrichment Freeze, TEHRAN (Reuters) - Iran rejected on Sunday a U.N.  resolution calling on it to freeze uranium enrichment  activities and threatened to stop snap checks of its atomic  facilities if its case were sent to the U.N. Security Council.
2,Ferrari show rolls on,RUBENS Barrichello finally won his first Formula One race of the season to hand Ferrari victory on its home circuit yesterday. He punched the air in pure delight as he beat teammate Michael Schumacher at the 
1,Belarus president says he won mandate to remain in power,President Alexander Lukashenko of Belarus said yesterday that he won a mandate from voters to stay in power in a weekend referendum 
4,Security leaders get bigger,Consolidation in the security sector continued last week as three firms planned a merger to form a new security giant offering global services.
1,Japan quake death toll hits 21,"Tokyo - Still reeling from a 6.8-level earthquake, Japan #39;s northwestern Niigata prefecture was hit by another strong quake on Sunday afternoon measuring 4.9 on the Richter scale as the death toll from the previous hours rose to at least 22."
3,Semiconductor Sector Sends Stocks Lower,"US stocks fell on Thursday, led by a decline in the technology sector following a batch of sales warnings from chip makers and a jump in oil prices to nearly \$43 a barrel."
1,Lawyers Call on U.N. to Shield Whistle-Blowers (Reuters),"Reuters - Two lawyers for U.N.\whistle-blowers urged the United Nations on Wednesday to\protect staffers who want to disclose corruption at the world\body, including the oil-for-food program for Iraq."
3,"No petrol, diesel price hike for now","NEW DELHI, OCT 31: No increases in petrol and diesel prices are expected this fortnight. According to official sources, the government has decided to wait till after the US presidential polls before initiating any hikes."
4,For the record 7 October,"The founder of the Netscape browser, software which once vied for the top spot with Microsoft #39;s Internet Explorer, has said he believes the browser wars may be back."
3,Freddie Mac Cuts 2003 Profit," NEW YORK (Reuters) - Freddie Mac &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=FRE.N target=/stocks/quickinfo/fullquote""&gt;FRE.N&lt;/A&gt;, the  second-largest U.S. home financing company, on Friday revised  its 2003 net income downward by \$75 million to provide for a  reserve for legal expenses, according to its annual report."
4,HP to stop using Intel Itanium chip: WSJ,"New York, September 27: Printer and PC maker Hewlett-Packard Co will stop offering desktop workstations based on Intel Corp #39;s Itanium microprocessor, The Wall Street Journal reported on its online edition."
3,"Pentagon flipflops, will pay Halliburton fully","WASHINGTON - The US army said it had suspended its decision to partially withhold payments to Halliburton, the biggest US contractor in Iraq. "
2,Ricky Williams Wants to Rejoin the Dolphins,"Ricky Williams wants to rejoin the Miami Dolphins and has asked the N.F.L. how soon he can return, his agent said."
3,Markets brace for fresh hurricane,Hurricane Frances is pushing up commodity prices and weighing on insurance company stocks as it heads for the Florida coast. Orange juice prices hit nine-month highs on the New York Board of Trade on Thursday 
3,Florida candidate calls for bipartisanship,"The nation #39;s leaders need to put aside partisan labels to help Florida recover from the devastation of three major hurricanes during the past month, Democratic Senate candidate Betty Castor said Saturday."
3,Imagining Toyland Without One of Its Giants,"LABOR DAY weekend at the Wal-Mart here was a great shopping scene for children. As they pushed carts brimming with new notebooks, clothes and shoes through the aisles, they got a small preview "
2,Athens Asides,HAMMER champion Adrian Annus of Hungary will be stripped of his gold after refusing to go for an out-of-competition doping test. The International Olympic Council wanted a further test after it believed he 
4,"Sony to Open More Stores, Worrying Others (AP)","AP - Few people took notice when Sony Electronics Inc. opened a tiny storefront last year here at South Coast Plaza, a swanky mall south of Los Angeles. As it turns out, the small store would represent a big change in how Sony sells its televisions, DVD players and other gear."
4,Movie Studios Start Suing Web File Swappers (Reuters),"Reuters - Hollywood film studios filed suit\against online video file swappers in federal courts across the\United States on Tuesday, making good on a promise to punish\computer users they claim are violating copyright laws."
1,Some 150 Foreigners Taken Hostage in Iraq,"-Two Indonesian women, Rosidah binti Anan and Rafikan binti Aming, and two Lebanese men. Video broadcast Sept. 30 shows them being held at gunpoint by masked men and claims responsibility in the name of the Islamic Army in Iraq."
3,Industry report,"Bridgestone Firestone North American Tire launched a voluntary safety campaign Thursday to replace 27,000 tires, the same model as those involved in accidents that injured more than a dozen people and killed one."
1,Brazil backs China on trade bid,Brazil is the latest country to recognise China as a market economy in a move expected to consolidate their trade ties.
2,NL notables,"Expos first baseman Nick Johnson was hit on the side of the head by a hard grounder in the third inning and was carried off the field on a stretcher. Johnson immediately went down face first onto the infield. The Expos said Johnson never lost consciousness and was taken to the hospital for X-rays. The Expos' starting pitcher, Tony Armas ..."
2,Flaherty agrees to stay with Yankees,"Backup catcher John Flaherty decided to stay with the New York Yankees, agreeing Friday to an \$800,000, one-year contract. Flaherty, 37, hit .252 in 127 at-bats but was the key to several New York wins, hitting six homers and driving in 16 runs."
4,DS success shows public wants 'easy-to-play' video games: Nintendo (AFP),"AFP - Nintendo said its new DS hand-held console is beating sales expectations, showing that the public wants easy-to-play video games instead of elaborate high-tech machines."
1,Saga of Britain's official cats revealed under new Freedom of Information Act (Canadian Press),"Canadian Press - LONDON (AP) - Now it can be told: Britain's Home Office had not one official cat, but a whole dynasty of mouse catchers, one of which nearly insulted the Queen."
3,Future #39;s Cloudy for Clear Channel,Multimedia monster Clear Channel Communications (NYSE: CCU) turned up the volume today with a third-quarter report that was decidedly better than the headlines hyping a  quot;60 drop quot; in earnings.
4,Kerry's Disgusting Ad,"\\A few days ago Kerry sent around this ad:\\""Yesterday, the Bush-Cheney campaign, losing any last sense of decency, placed\a disgusting ad called ""The Faces of John Kerry's Democratic Party"" as the\main feature on its website. Bizarrely, and without explanation, the ad places\Adolf Hitler among those faces.""\\""The Bush-Cheney campaign must pull this ad off of its website. The use of\Adolf Hitler by any campaign, politician or party is simply wrong.""\\Which of course is a mistake.  I went and downloaded the video (which is just\stupid btw.  Not a masterpiece by any means.) and there are shots of Hitler in\there, but only from the MoveOn contest from a few months back.\\Here's the problem.  The ...\\"
4,Oracle extends takeover offer for PeopleSoft (AFP),AFP - Business software group Oracle Corp. said it had extended a hostile takeover offer for PeopleSoft by two weeks to November 5.
3,"MPAA touts lawsuits, new P2P-fighting software","com November 16, 2004, 12:19 PM PT. This priority retains its ranking at number five as more and more companies deploy Web services to share business logic, data and processes with each other and with clients."
3,US Airways flight attendants OK possible strike,"The more than 5,000 US Airways flight attendants represented by the Association of Flight Attendants overwhelmingly voted in favor of possible strikes against the carrier."
2,"Seeded players Costa, Davidenko out of Romanian Open","Third seed Albert Costa and fifth seeded Russian Nikolay Davidenko were knocked out of the Romanian Open tennis tournament on Monday, losing in the first round to unseeded opponents."
4,Update: Four Infineon executives jailed for DRAM price-fixing,"Four executives at German memory vendor Infineon Technologies and its U.S. subsidiary have pled guilty to charges of illegally setting prices for PC memory chips, the U.S. Department of Justice (DOJ) announced Thursday."
4,Microsoft #39;s FAT Patent Rejected for Now,"In a heavy blow to Microsoft #39;s intellectual property rights, the US Patent and Trademark Office has initially rejected Microsoft #39;s patent claims on the universally popular FAT (file allocation table) file system."
1,Romanians seek US as base tenant,"MIHAIL KOGALNICEANU AIR BASE, Romania -- To entice the US military to make a home here, what better symbolic appeal could the Romanian government make than to rename a street George Washington Boulevard?"
2,Tedford Extends Contract to 2009,"Twenty-four hours after missing out on its first Rose Bowl since 1959, the Cal football program was given reason for a half-decade of hope."
4,Boardroom fight snags RedEnvelope (SiliconValley.com),"SiliconValley.com - RedEnvelope, a San Francisco online retailer that survived the Internet downturn to become a public company last year, is caught in the middle of a boardroom fight between dissident shareholders and one of Silicon Valley's most successful venture capitalists."
1,Australia boosts anti-terror measures at small airports,SYDNEY : The Australian government announced a major security upgrade for nearly 150 small airports including the creation of police rapid response teams to deal with possible terrorist attacks.
3,Oil price hike has had  quot;limited quot; impact on China #39;s economy &lt;b&gt;...&lt;/b&gt;,"BEIJING: Record oil prices have had only  quot;limited quot; impact on the Chinese economy but the country needs to be keep a close watch on the issue, a senior official said."
2,Trial date set for lawsuit that touched off Univ. of Colo. &lt;b&gt;...&lt;/b&gt;,"A judge set a trial date Wednesday for a lawsuit against the University of Colorado that touched off a scandal in the football program over allegations that sex, drugs and alcohol were used to lure recruits."
2,Saints' McAllister Hurt in Chargers Game (AP),"AP - Saints running back Deuce McAllister lasted just a handful of plays before spraining his right ankle against San Francisco, one of several prominent players who got hurt Sunday."
1,Iranian Leader Rules Out Halt in Uranium Enrichment,"Iran #39;s supreme leader threatened Wednesday to pull out of negotiations if European countries press their demand for total suspension of uranium enrichment, as a new round "
3,Oil Rebounds on Winter Supply Worries, LONDON (Reuters) - Oil prices jumped from a four-month low  on Wednesday as slow growth in U.S. heating fuel inventories  heightened fears for tight winter supplies.
3,Unilever Issues Profit Warning,"Unilever PLC, the Anglo-Dutch consumer products giant, reduced its outlook for the year on Monday, citing poor weather, weak consumer confidence in Europe and tough competition in Asia."
2,Meal tickets go as Silverstone is removed from the menu,"The shockwaves generated by Bernie Ecclestone #39;s decision to scrap the British grand prix rippled out yesterday to touch every corner of the country #39;s motorsport industry, threatening Britain #39;s position as the global centre of international motor racing."
2,NCAA Game Summary - Southern California at BYU,The Cougars turned the ball over four times...The Trojans made their first ever visit to Provo...Bush posted his first career 100-yard rushing game.
1,Russia Defense Minister in China Cooperation Talks (Reuters),"Reuters - Russian Defense Minister Sergei Ivanov\met Chinese military leaders in Beijing Monday to discuss\cooperation between China, a fast-rising military power, and\its main foreign arms and weapons-technology supplier."
4,Intel Switches Off LCOS TV Chip,TV chip cancellation joins a long list of 2004 canceled projects and missteps.
1,"US, Nigeria to hold joint military training next week","The US navy will hold a joint training with the Nigerian army in the African giant #39;s oil producing Niger Delta region next week, Nigerian defense ministry said Thursday."
1,Hurricane Ivan pounds US mainland,"Hurricane Ivan pummels the US Gulf Coast, causing at least 12 deaths and widespread damage. "
2,Leonard Forges Two Clear with Nine to Play at PGA," KOHLER, Wisconsin (Reuters) - American Justin Leonard  stayed on track for his second major title in the U.S. PGA  Championship final round on Sunday, moving two shots clear with  nine holes to play."
4,Web board craigslist makes a name for itself (USATODAY.com),"USATODAY.com - Craigslist is a giant Internet bulletin board where people buy and sell their stuff, trade humor and political wisdom, look for dates, seek home repair advice, share their poetry and often just rant. Some call the site a public forum. Others call it a classified market. Many call it an obsession."
4,Briefly: Verizon Wireless pulls phone from shelves,roundup Plus: Dell updates low-end server line...SAS Institute lures former Red Hat CFO...McAfee CFO joins Cray board.
2,Mourning looks good in return,"Four seconds after he checked into his first basketball game in nearly a year, Alonzo Mourning drilled a jumper from the foul line, then pointed to the ceiling."
1,Sudan Rules Out Talk of African Troops (AP),AP - Sudan's government on Saturday ruled out discussion of an African Union proposal to send peacekeepers into the conflict-ridden Darfur region during the latest peace talks with rebels.
2,Red Star names Dostanic new coach,"Troubled Serbia-Montenegro champion Red Star Belgrade on Saturday named Ratko Dostanic its new coach, signing him on for a three-year contract, the club said."
2,Ravens Beat Dolphins but Miss Playoffs (AP),"AP - The Baltimore Ravens did their part to get into the playoffs. It wasn't enough. After beating the Miami Dolphins 30-23 Sunday, the Ravens had to wait until the late afternoon games ended to learn their postseason fate."
4,Switches Drive Down Prices For 10-Gbps Ethernet,Falling prices for 10-Gbps Ethernet switches may spur a new round of network upgrades by businesses looking to provide more speed for bandwidth-hungry applications.
4,Napster and Dwango Sign Deal for Mobile Ringtones,The Napster Mobile service will launch in the US and Canada in 2005 and will utilize a special Napster interface. Users will be able to download ringtones and earn credits redeemable on Napster PC-based service at the same time.
4,SGI to Ship Intel Linux Workstation,Silicon Graphics Inc. announced that it will ship a new Intel Itanium-based Linux workstation that the company says is the most powerful of its kind in the world.
4,"Search tools, music gadgets and e-mail, oh my",The year #39;s biggest upset in sports has to be the Boston Red Sox #39;s improbable world championship. The biggest upset in politics: that choosing the president did not require Supreme Court intervention.
3,"Coke, EU Strike Deal, End Antitrust Probe","The Coca-Cola Co. (KO.N: Quote, Profile, Research) reached an agreement with the European Commission on Tuesday to settle a five-year antitrust case that "
2,Cricket: Ponting gives thumbs up,"Australia captain Ricky Ponting, recovering from a broken thumb, is confident he can improve his poor record in India and help his team win the test series."
1,Iraqi Delegation Set for Najaf Peace Bid, BAGHDAD (Reuters) - Iraqi political and religious leaders  prepared to go to the holy city of Najaf on Tuesday in a  last-ditch bid to persuade a radical Shi'ite cleric to end a  rebellion that has killed hundreds and rattled oil markets.
4,PluggedIn: Mobile Operators Seek Higher Sound Quality (Reuters),"Reuters - Ring tones on mobile phones were once\considered cool if they simply sounded musical. Then phones\starting ringing to the tune of a pop song, giving way to ""ring\songs."""
3,Dismay and Sadness at Jaguar Decision,"News that the assembly of Jaguar cars in Coventry will stop was greeted with dismay locally today. Residents in the village of Allesley, where the Browns Lane factory is based, expressed "
3,EU finalises anti-trust deal with Coca-Cola,"BRUSSELS, Oct 19 (AFP) - The European Union #39;s executive arm said Tuesday it had virtually wrapped up a settlement to a long-running dispute over anti-competitive retail practices by Coca-Cola."
1,Discontent in China boils into public protest,"When the local government announced it was going to confiscate their homes and businesses to make room for a new development, residents of this village in southeastern China fought back."
2,"Angels 7, White Sox 5","Garret Anderson hit a tiebreaking two-run single in the eighth inning and Vladimir Guerrero had a three-run homer, leading the Anaheim Angels to a 7-5 victory over the Chicago White Sox on Friday night."
1,Five missing German tourists found,"FIVE German tourists who went missing in Algeria #39;s Sahara desert have been found safe and well in the southern Djanet region of the north African country, local police said today."
3,BHP #39;s Shenzi-3 Well Finds Oil in US Gulf of Mexico (Update1),"BHP Billiton, Australia #39;s biggest oil and gas producer, said a second appraisal well at its Shenzi discovery in the Gulf of Mexico found oil, increasing the likelihood the field can be commercially developed."
4,Sun-Microsoft deal raises Open Office questions,"Microsoft Corp. on Wednesday said that it is looking for ways to work more closely with developers of the Open Office open source project, while at the same time, apparently reserving the right to sue them, according to a legal agreement between Microsoft and Open Office's major sponsor, Sun Microsystems Inc., made public this week."
4,Fury over  #39;shoot JFK video game #39;,A new computer game which recreates John F Kennedy #39;s assassination was branded despicable yesterday by late president #39;s family.
1,Kashmiris rally on 57th anniversary of Indian invasion,"MUZAFFARABAD, Pakistan-controlled Kashmir - Thousands of people in Pakistani-controlled Kashmir demonstrated Wednesday to mark the black day 57 years ago when India deployed troops in the Himalayan region."
1,AU Says Sudan Launches New Attacks on Darfuris (Reuters),Reuters - Nigerian President and African Union (AU)\chairman Olusegun Obasanjo said Monday AU cease-fire monitors\had confirmed Darfur rebel reports that the Sudan government\launched fresh attacks on civilians last week.
1,Paisley  #39;on verge of pact with Sinn Fein #39;,Ian Paisley is almost certain to sign a historic agreement that would see his Democratic Unionists sharing power in Ulster with Sinn Fein.
1,Putin #39;s outdated illusions are dangerous,"Before the tragedy of Beslan, Vladimir Putin lived in a vibrant young democracy. Voters gave a Kremlin-backed party an overwhelming mandate in parliamentary elections in December, and "
2,Winners go full Force at Nationals,John Force didn #39;t score his fifth victory in the National Hot Rod Association #39;s biggest event Monday at Indianapolis Raceway Park.
1,Foreigners Pour Out of Ivory Coast,"Frightened foreigners, many of them longtime residents of this country, piled into buses, boats and planes Saturday as a French-run evacuation widened, despite "
1,"This week, 4 Guantanamo detainees to be arraigned","GUANTANAMO BAY NAVAL BASE, Cuba -- The first Guantanamo detainees to be arraigned on terrorism charges are an alleged Al Qaeda accountant, a poet accused of crafting terrorist propaganda, a man accused of being a driver for Osama bin Laden and an "
1,Dutch pol flays Muslim  #39;threat #39;,One of the most popular politicians in the Netherlands said yesterday his country #39;s democracy is under threat and called for rejecting immigration from non-Western nations in 
2,Silver lining melts foul mood,"OLYMPIA, Greece -- US shot-putter Adam Nelson stood outside the throwing circle, his hands on the back of his head, his hopes just dashed by a foul on a throw that would have won the gold medal. "
4,Amphibian decline serves as global warning,"NEARLY one in three species of frogs, toads and newts in the world is under threat of extinction, according to the most comprehensive global study of amphibians ever conducted."
3,US Airways Seeks Concessions from Unions," WASHINGTON (Reuters) - Bankrupt US Airways &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=UAIRQ.OB target=/stocks/quickinfo/fullquote""&gt;UAIRQ.OB&lt;/A&gt;  sought consent from its big unions on Wednesday for temporary  relief from contracts and threatened to go to court to force  changes if workers did not voluntarily agree."
